epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,542.143,2.92692,3.57681,3.14962,0.43543,0.28419,0.21619,0.12173,1.67875,2.02436,1.98705,0.00333186,0.00333186,0.0700132
2,1036.28,1.72372,1.93829,1.89715,0.38991,0.45787,0.40861,0.22441,1.4995,1.52636,1.77424,0.00666502,0.00666502,0.040013
3,1529.57,1.59707,1.57265,1.77086,0.70955,0.53794,0.59069,0.324,1.5183,1.25534,1.76566,0.00999745,0.00999745,0.0100121
4,2030.01,1.54155,1.33549,1.71407,0.74911,0.61196,0.64697,0.35109,1.51747,1.04821,1.76129,0.00999756,0.00999756,0.00999756
5,2530.97,1.49922,1.17937,1.68257,0.61879,0.57223,0.59924,0.31104,1.62848,1.07448,1.81249,0.00999566,0.00999566,0.00999566
6,3025.92,1.47153,1.09533,1.65644,0.80014,0.66741,0.70791,0.40431,1.42296,0.85279,1.66706,0.00999322,0.00999322,0.00999322
7,3523.78,1.46114,1.05152,1.63923,0.69037,0.68529,0.71973,0.40118,1.45943,0.81384,1.69449,0.00999023,0.00999023,0.00999023
8,4021.56,1.44113,1.00471,1.62619,0.70332,0.69318,0.73084,0.41666,1.42145,0.76619,1.66231,0.00998671,0.00998671,0.00998671
9,4519.33,1.42671,0.97074,1.60904,0.70387,0.69905,0.73736,0.42141,1.41523,0.75646,1.65997,0.00998264,0.00998264,0.00998264
10,5021.03,1.4216,0.94578,1.60177,0.71155,0.71448,0.74504,0.42733,1.40137,0.72747,1.64771,0.00997803,0.00997803,0.00997803
11,5524.9,1.42019,0.92715,1.60941,0.71225,0.71654,0.74761,0.4296,1.40512,0.71216,1.65281,0.00997288,0.00997288,0.00997288
12,6032.18,1.40943,0.91232,1.59862,0.71365,0.71703,0.75106,0.43287,1.39117,0.70141,1.63612,0.0099672,0.0099672,0.0099672
13,6534.42,1.40841,0.89744,1.60031,0.71678,0.72027,0.75274,0.43031,1.40096,0.69359,1.64579,0.00996097,0.00996097,0.00996097
14,7033.56,1.40499,0.88555,1.59532,0.72273,0.7221,0.75719,0.43576,1.39475,0.68371,1.63815,0.0099542,0.0099542,0.0099542
15,7533.4,1.40358,0.87953,1.59439,0.72129,0.7288,0.75737,0.43348,1.40023,0.66947,1.64168,0.0099469,0.0099469,0.0099469
16,8032.46,1.3945,0.86173,1.58391,0.7205,0.73156,0.75948,0.43685,1.39088,0.66385,1.6335,0.00993906,0.00993906,0.00993906
17,8533.25,1.39393,0.85371,1.58926,0.72873,0.73491,0.76402,0.43898,1.39029,0.65221,1.63396,0.00993068,0.00993068,0.00993068
18,9036.59,1.38857,0.84388,1.58028,0.72862,0.7372,0.76509,0.43832,1.39383,0.64511,1.63592,0.00992177,0.00992177,0.00992177
19,9542.62,1.38459,0.84219,1.57902,0.73289,0.73554,0.76568,0.43966,1.38786,0.63989,1.63228,0.00991232,0.00991232,0.00991232
20,10049.8,1.38734,0.83902,1.57634,0.73538,0.73588,0.76691,0.44232,1.38076,0.63469,1.62632,0.00990234,0.00990234,0.00990234
21,10551.6,1.38389,0.82767,1.57699,0.73369,0.73642,0.7674,0.44145,1.38166,0.63331,1.62838,0.00989183,0.00989183,0.00989183
22,11053.7,1.38233,0.82407,1.56906,0.7342,0.73956,0.76891,0.44235,1.38211,0.62849,1.62905,0.00988079,0.00988079,0.00988079
23,11559.1,1.37246,0.81297,1.56829,0.73543,0.74395,0.77072,0.44349,1.3816,0.62254,1.62809,0.00986922,0.00986922,0.00986922
24,12061.9,1.36987,0.80716,1.56327,0.73695,0.74549,0.77184,0.44374,1.38366,0.61815,1.629,0.00985711,0.00985711,0.00985711
25,12565.3,1.37019,0.80792,1.55884,0.73935,0.74329,0.77169,0.44435,1.38129,0.61479,1.62643,0.00984449,0.00984449,0.00984449
26,13069.7,1.36242,0.80066,1.55655,0.74115,0.74455,0.77299,0.44546,1.37931,0.61119,1.62421,0.00983133,0.00983133,0.00983133
27,13574.8,1.36831,0.79416,1.56149,0.74134,0.74586,0.77329,0.44628,1.37723,0.60843,1.62287,0.00981765,0.00981765,0.00981765
28,14082.6,1.36233,0.79121,1.55363,0.74068,0.74677,0.7735,0.44614,1.37899,0.60675,1.62431,0.00980345,0.00980345,0.00980345
29,14587.2,1.36163,0.78619,1.55463,0.74144,0.74751,0.77375,0.44685,1.37743,0.60433,1.62283,0.00978873,0.00978873,0.00978873
30,15089.7,1.36365,0.78905,1.55258,0.74044,0.74866,0.77386,0.44681,1.37692,0.60242,1.62229,0.00977349,0.00977349,0.00977349
31,15597.7,1.36118,0.78756,1.55289,0.74184,0.74886,0.77432,0.448,1.3754,0.60038,1.62097,0.00975773,0.00975773,0.00975773
32,16106.8,1.36007,0.77936,1.5462,0.74264,0.74798,0.7748,0.44852,1.37438,0.59863,1.62009,0.00974145,0.00974145,0.00974145
33,16620.8,1.35658,0.78142,1.54344,0.74304,0.74891,0.77575,0.44923,1.37405,0.59634,1.61962,0.00972466,0.00972466,0.00972466
34,17134.4,1.35587,0.77091,1.55051,0.74322,0.75037,0.77599,0.45005,1.37231,0.59482,1.61812,0.00970736,0.00970736,0.00970736
35,17642.1,1.35406,0.77383,1.55148,0.74489,0.75043,0.77631,0.45008,1.3704,0.59272,1.61656,0.00968955,0.00968955,0.00968955
36,18150.8,1.35038,0.7643,1.54496,0.74703,0.74893,0.77711,0.45047,1.37001,0.59108,1.61593,0.00967122,0.00967122,0.00967122
37,18659.3,1.35061,0.76117,1.54478,0.74795,0.74934,0.77817,0.451,1.37004,0.58925,1.6156,0.00965239,0.00965239,0.00965239
38,19168.7,1.3514,0.77069,1.54284,0.74744,0.75033,0.77851,0.45181,1.3686,0.58848,1.61404,0.00963306,0.00963306,0.00963306
39,19679.5,1.3507,0.75555,1.54235,0.74674,0.75085,0.77863,0.45175,1.36797,0.58705,1.61316,0.00961322,0.00961322,0.00961322
40,20189,1.34385,0.76102,1.53269,0.74725,0.75175,0.77926,0.45242,1.36746,0.58593,1.61249,0.00959289,0.00959289,0.00959289
41,20703,1.35467,0.76616,1.54178,0.74652,0.75256,0.77948,0.45225,1.36607,0.58449,1.61105,0.00957205,0.00957205,0.00957205
42,21207.4,1.34456,0.75295,1.5386,0.75018,0.74971,0.77935,0.45246,1.36557,0.5834,1.61044,0.00955072,0.00955072,0.00955072
43,21712.3,1.35318,0.75832,1.54226,0.74855,0.75095,0.77911,0.45284,1.36535,0.58232,1.6099,0.00952889,0.00952889,0.00952889
44,22213.3,1.35076,0.75546,1.53962,0.74943,0.7511,0.77989,0.45297,1.36431,0.58131,1.60873,0.00950658,0.00950658,0.00950658
45,22714,1.34357,0.75604,1.53059,0.74949,0.75079,0.7795,0.45297,1.36396,0.58004,1.60794,0.00948377,0.00948377,0.00948377
46,23216.7,1.33943,0.74537,1.53432,0.7485,0.7538,0.77955,0.45317,1.362,0.5789,1.60588,0.00946048,0.00946048,0.00946048
47,23719.8,1.34466,0.74393,1.53719,0.74757,0.7545,0.77937,0.45328,1.36179,0.57755,1.60529,0.00943671,0.00943671,0.00943671
48,24224.3,1.33571,0.73995,1.52904,0.74799,0.75451,0.77976,0.45386,1.36074,0.57648,1.60414,0.00941245,0.00941245,0.00941245
49,24731.9,1.34649,0.74119,1.53578,0.74818,0.75538,0.78089,0.45495,1.35923,0.57545,1.60279,0.00938772,0.00938772,0.00938772
50,25235.6,1.34001,0.74021,1.5264,0.74892,0.75473,0.78069,0.4554,1.35837,0.57426,1.60199,0.00936251,0.00936251,0.00936251
51,25750.9,1.34075,0.74001,1.52623,0.75122,0.75355,0.78088,0.45557,1.35703,0.57314,1.60067,0.00933683,0.00933683,0.00933683
52,26252.3,1.33811,0.73949,1.5325,0.7507,0.75542,0.78143,0.45625,1.35635,0.572,1.59983,0.00931067,0.00931067,0.00931067
53,26767.5,1.34044,0.73888,1.52623,0.75142,0.75538,0.78156,0.45682,1.35536,0.57111,1.59884,0.00928405,0.00928405,0.00928405
54,27271,1.33067,0.7274,1.52636,0.75187,0.75574,0.78165,0.45662,1.35523,0.5701,1.5986,0.00925697,0.00925697,0.00925697
55,27772.3,1.33293,0.73309,1.52414,0.74963,0.75844,0.78207,0.45763,1.35436,0.56941,1.59756,0.00922942,0.00922942,0.00922942
56,28281.2,1.33096,0.73519,1.5167,0.75315,0.75583,0.78282,0.45772,1.35256,0.56805,1.59584,0.00920142,0.00920142,0.00920142
57,28788.9,1.33009,0.72889,1.5237,0.75418,0.7556,0.78287,0.45828,1.35063,0.5671,1.59435,0.00917296,0.00917296,0.00917296
58,29299.1,1.32725,0.72985,1.5187,0.7542,0.75645,0.78304,0.459,1.34931,0.56624,1.59301,0.00914405,0.00914405,0.00914405
59,29810.3,1.33041,0.72383,1.5232,0.75177,0.75862,0.78348,0.45953,1.34803,0.56537,1.59201,0.00911469,0.00911469,0.00911469
