epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,885.831,1.36231,1.4237,1.60944,0.77841,0.7702,0.78601,0.44925,1.43659,1.08949,1.82489,9.99644e-05,9.99644e-05,0.0501178
2,1717.37,1.32016,1.31519,1.57171,0.77734,0.78588,0.79391,0.44379,1.47599,1.0294,1.8583,0.000195015,0.000195015,0.000212809
3,2550.19,1.30894,1.28043,1.56732,0.78682,0.78274,0.79607,0.46259,1.40121,0.99784,1.79438,0.0001901,0.0001901,0.0001901
4,3381.65,1.30888,1.2834,1.56726,0.78671,0.78345,0.79862,0.46337,1.40029,0.99057,1.79762,0.00018515,0.00018515,0.00018515
5,4213.71,1.29868,1.25744,1.56477,0.78918,0.78522,0.8022,0.47916,1.31748,0.94922,1.71638,0.0001802,0.0001802,0.0001802
6,5043.38,1.30053,1.25978,1.56193,0.80074,0.77371,0.80111,0.4802,1.33717,0.96219,1.7308,0.00017525,0.00017525,0.00017525
7,5873.92,1.29892,1.24671,1.56205,0.79737,0.7863,0.80248,0.47193,1.36061,0.95737,1.74828,0.0001703,0.0001703,0.0001703
8,6709.61,1.29018,1.23954,1.54433,0.79516,0.79514,0.80802,0.48529,1.32232,0.94599,1.71651,0.00016535,0.00016535,0.00016535
9,7546.71,1.29462,1.24125,1.55089,0.80168,0.78786,0.80636,0.48803,1.31286,0.9383,1.70765,0.0001604,0.0001604,0.0001604
10,8385.98,1.288,1.22374,1.54618,0.79232,0.79687,0.80892,0.49308,1.29484,0.93275,1.69197,0.00015545,0.00015545,0.00015545
11,9225.83,1.2875,1.23517,1.54113,0.80408,0.78584,0.80797,0.4896,1.31335,0.93899,1.70341,0.0001505,0.0001505,0.0001505
12,10068.5,1.28311,1.21866,1.54167,0.80801,0.77912,0.80676,0.48975,1.30398,0.94162,1.69383,0.00014555,0.00014555,0.00014555
13,10912.1,1.28125,1.20852,1.53804,0.80446,0.77803,0.80409,0.4903,1.30825,0.93734,1.69675,0.0001406,0.0001406,0.0001406
14,11758,1.28003,1.20712,1.54234,0.79922,0.78664,0.80568,0.49425,1.28755,0.93489,1.68012,0.00013565,0.00013565,0.00013565
15,12606.2,1.27064,1.1999,1.53733,0.79057,0.79291,0.80715,0.49532,1.29143,0.93061,1.68605,0.0001307,0.0001307,0.0001307
16,13452.4,1.2741,1.2043,1.53515,0.79379,0.78872,0.80929,0.49776,1.28183,0.92614,1.67729,0.00012575,0.00012575,0.00012575
17,14301.1,1.27418,1.20271,1.54251,0.79198,0.79212,0.8076,0.5016,1.27082,0.92586,1.66818,0.0001208,0.0001208,0.0001208
18,15150.4,1.27353,1.18791,1.53387,0.80833,0.78042,0.80942,0.50373,1.26813,0.92072,1.66708,0.00011585,0.00011585,0.00011585
19,15999.9,1.27549,1.18654,1.53734,0.80635,0.78378,0.80941,0.50397,1.26825,0.92137,1.66673,0.0001109,0.0001109,0.0001109
20,16844.7,1.27454,1.18886,1.53408,0.79975,0.7901,0.81056,0.50275,1.2727,0.92189,1.67037,0.00010595,0.00010595,0.00010595
21,17684.2,1.27181,1.18059,1.53267,0.79195,0.79539,0.80869,0.50282,1.27195,0.92155,1.6698,0.000101,0.000101,0.000101
22,18521.2,1.26548,1.17288,1.52359,0.79187,0.79281,0.80864,0.50319,1.27177,0.92065,1.66949,9.605e-05,9.605e-05,9.605e-05
23,19360.2,1.26161,1.165,1.52061,0.79304,0.78924,0.80741,0.50235,1.27233,0.92045,1.67008,9.11e-05,9.11e-05,9.11e-05
24,20202.8,1.26034,1.15975,1.52172,0.79666,0.78612,0.80817,0.50284,1.27059,0.92022,1.6687,8.615e-05,8.615e-05,8.615e-05
25,21045.6,1.26122,1.17218,1.52583,0.79877,0.78453,0.80829,0.50279,1.27044,0.91991,1.66875,8.12e-05,8.12e-05,8.12e-05
26,21892.4,1.25759,1.15076,1.52039,0.79984,0.78505,0.80817,0.50268,1.27161,0.91957,1.66969,7.625e-05,7.625e-05,7.625e-05
27,22739.4,1.25532,1.15658,1.51553,0.79786,0.78672,0.80821,0.5025,1.27253,0.91953,1.6704,7.13e-05,7.13e-05,7.13e-05
28,23589.1,1.25991,1.16008,1.51817,0.79951,0.78569,0.80793,0.50204,1.27317,0.92021,1.67083,6.635e-05,6.635e-05,6.635e-05
29,24436.6,1.25773,1.14208,1.51896,0.79683,0.78745,0.80826,0.50241,1.27344,0.92032,1.67102,6.14e-05,6.14e-05,6.14e-05
30,25284.8,1.25014,1.14328,1.51243,0.79708,0.78686,0.8079,0.50199,1.27359,0.92119,1.67106,5.645e-05,5.645e-05,5.645e-05
31,26111.5,1.2362,1.05878,1.65679,0.79815,0.78497,0.80759,0.50178,1.27426,0.92193,1.67177,5.15e-05,5.15e-05,5.15e-05
32,26927.6,1.23547,1.0564,1.64717,0.79788,0.78385,0.80782,0.50217,1.27457,0.9226,1.67195,4.655e-05,4.655e-05,4.655e-05
33,27748,1.22443,1.04422,1.64002,0.79623,0.78363,0.80718,0.50185,1.27481,0.9227,1.67203,4.16e-05,4.16e-05,4.16e-05
34,28566.2,1.22705,1.03863,1.63825,0.80223,0.7787,0.8066,0.50162,1.27531,0.92323,1.6724,3.665e-05,3.665e-05,3.665e-05
35,29386.1,1.22307,1.02627,1.64119,0.80198,0.77938,0.80634,0.5016,1.27585,0.92417,1.67258,3.17e-05,3.17e-05,3.17e-05
